SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1/,,,,,,,,
SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1/,,,,,,,,
State or DC,,,,,,,,
GeoFips,GeoName,LineCode,Description,2018,2019,2020,2021,Description
0,United States,1,Personal consumption expenditures,13904979.5,14392721,14116165.7,15902575.3,Personal0consumption0expenditures
0,United States,2,  Goods,4355177.3,4473509.9,4670135,5496516,00Goods
0,United States,3,    Durable goods,1470686.8,1510542.9,1646793,2060246.3,0000Durable0goods
0,United States,4,      Motor vehicles and parts,520875,517001.3,533928.4,688718.9,000000Motor0vehicles0and0parts
0,United States,5,        New motor vehicles,286392.2,285735.6,292820.2,351241.6,00000000New0motor0vehicles
0,United States,6,        Net purchases of used motor vehicles,159099.6,153775.7,161434.4,243039.7,00000000Net0purchases0of0used0motor0vehicles
0,United States,7,        Motor vehicle parts and accessories,75383.3,77490,79673.8,94437.6,00000000Motor0vehicle0parts0and0accessories
0,United States,8,      Furnishings and durable household equipment,346025.8,360456,411923.1,495001.7,000000Furnishings0and0durable0household0equipment
0,United States,9,        Furniture and furnishings,216843.5,227831.3,265724.3,323636,00000000Furniture0and0furnishings
0,United States,10,        Household appliances,56821.3,57784.3,63615.7,74843.3,00000000Household0appliances
0,United States,11,"        Glassware, tableware, and household utensils",40813.8,42405.6,44867,53709.5,"00000000Glassware,0tableware,0and0household0utensils"
0,United States,12,        Tools and equipment for house and garden,31547.3,32434.8,37716.1,42812.9,00000000Tools0and0equipment0for0house0and0garden
0,United States,13,      Recreational goods and vehicles,389838.1,415746.6,494517.9,603891.4,000000Recreational0goods0and0vehicles
0,United States,14,"        Video, audio, photographic, and information processing equipment and media",228923.1,250560.5,297044.5,356012.3,"00000000Video,0audio,0photographic,0and0information0processing0equipment0and0media"
0,United States,15,"        Sporting equipment, supplies, guns, and ammunition",73331.3,76767.2,98068.8,120667.5,"00000000Sporting0equipment,0supplies,0guns,0and0ammunition"
0,United States,16,        Sports and recreational vehicles,62061.8,62939,73504.9,94974.8,00000000Sports0and0recreational0vehicles
0,United States,17,        Recreational books,19404.5,19200.2,19405.6,23988.4,00000000Recreational0books
0,United States,18,        Musical instruments,6117.3,6279.7,6494,8248.4,00000000Musical0instruments
0,United States,19,      Other durable goods,213947.9,217338.9,206423.7,272634.3,000000Other0durable0goods
